n_base,m_base,density,length,weight_mode,dist_type,dual2,n,dsrse_lp_adaptive_failed_solves,mu_pes_bound,cdsrse_lp_adaptive_failed_solves,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dsrse_lp_adaptive_total_solves,dual1,opt_mc,cdsrse_lp_adaptive,sdp_orig,lp_cons,dsrse_lp_adaptive,alpha_pes_over_pstar,p_star,m,cdsrse_lp_adaptive_total_solves,dsrse_weight,alpha_pes,sdp_orig_over_opt,alpha_gap,alpha_pes_over_pstar_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,mu_pes_bound_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,cdsrse_lp_adaptive_gap,dsrse_lp_adaptive_gap,alpha_over_opt,alpha_pes_over_pstar_over_opt,lp_cons_over_opt,lp_orig_over_opt,dual1_over_opt,dual2_over_opt,mu_pes_bound_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,cdsrse_lp_adaptive_over_opt,dsrse_lp_adaptive_over_opt
8,12,dense,short,uniform01,uniform,2.8141881631397174,8.0,0.0,3.3781182490903476,0.0,2.06245341548842,2.183915643926387,1.9318246215186399,1.9334287797539145,1731.4,3.0189980289392,2.113272738088476,1.9901529555587942,NaN,2.0478824009138994,2.0467985138717877,9.564480632071946,0.2125,12.0,1629.9,2.0675382618239855,1.9459380160553845,NaN,0.0837840141126282,3.6821463142841195,0.04019845131057624,0.039703796829316185,NaN,0.4508914062843516,0.3474764616166713,0.6112473703121365,0.09651883093637871,0.08821275767635019,0.02122482886129302,0.025996061820476413,0.06270988693149357,0.037255767737362444,0.9208172617679008,4.525909249519459,0.9690573128607507,1.0334282009911366,1.4285889249061068,1.3316729603417126,1.5985245009813385,0.9141388078786452,0.9148978950548351,0.9783584601077764,0.9759523124090346,0.9417397573391083,0.9685444178507615
8,12,sparse,short,uniform01,uniform,1.7071151443220636,4.0,0.0,1.8138611019038902,0.0,1.3084435549579674,1.3667486213516842,1.218049243786021,1.2222271890677925,1207.7,1.8626448953479593,1.3207438363754875,1.2268667674103872,NaN,1.2865557993201413,1.2985277837727993,5.365213936788274,0.2386,12.0,1136.9,1.310932617215397,1.20921807623499,NaN,0.10713105396704363,3.06631886193012,0.044450030271612394,0.040969378204261955,NaN,0.4403656316452954,0.31156944669135067,0.3806458723124827,0.0999550387787739,0.09279004584358092,0.009712162863262852,0.012259179719175239,0.07404383879167864,0.02319732121964323,0.9155583716774652,4.062266874939209,0.9741145586950697,1.034832481295122,1.4102998962006204,1.2925406860174289,1.3733632911599742,0.9222448821935896,0.9254082096812551,0.9925714442953484,0.9906868530605634,0.9289210622229919,0.9831791358847787
8,12,dense,long,uniform01,uniform,2.649710497660786,8.0,0.0,3.0329794060727857,0.0,1.7890893017498128,1.943961147292709,1.7119247915778655,1.545976947370945,1431.3,2.981066829783527,1.8868705470793983,1.7507290747219522,NaN,1.7904897073563357,1.7969340709492023,14.125765256584106,0.11899999999999997,18.1,1305.4,1.8182418284839064,1.587728864237094,NaN,0.15074077003213024,6.8523984685721215,0.05363006353092816,0.03434475760590796,NaN,0.6128736587916566,0.42369581631468056,0.6456999448028113,0.0918411759117287,0.17772237031125565,0.04425751849723082,0.0625383226640433,0.07270748486870626,0.08765926864604542,0.8414614699957386,7.486345726498694,0.9489202691343896,1.0302567657869686,1.5799000277988258,1.4042884403289635,1.6074125544899716,0.9072825871534624,0.8193338699169866,0.9636282845679481,0.9481780848819032,0.927848006018127,0.9523356404765528
8,12,sparse,long,uniform01,uniform,1.6202522789040805,4.0,0.0,1.7301288917644713,0.0,1.171046346023542,1.209818632869939,1.1524264581215538,1.0418659868890867,1049.5,1.8522241565352886,1.1859420041409554,1.1545643472092157,NaN,1.175796932998801,1.1008589665872273,8.018137713584395,0.1401,18.1,970.9,1.1828465704798077,1.0627157907497062,NaN,0.10238520803464224,6.032988235587071,0.014269605937157292,0.03159878115538456,NaN,0.6199442332213951,0.40229864838847346,0.4989766923173858,0.04561655645783087,0.11431461820981832,0.009344400669118269,0.01666955021268901,0.043323955846060566,0.10835567720399097,0.8960942331404234,6.760986359861993,0.9914455587990552,1.0201330492095007,1.5618168089736892,1.366215441603926,1.4588646710575877,0.971739304365327,0.8785134376311841,0.9973898945729729,0.9874398089742988,0.9735419971447353,0.9282569997043333
10,15,dense,short,uniform01,uniform,2.743245033383623,10.0,0.0,3.930918520655015,0.0,1.9670122663585243,2.1687105148843626,1.8114112570352858,1.7444440902113967,1579.4,2.9980630929449763,2.0519074736410845,1.84726711902256,NaN,1.9972123539623006,1.8916799208301174,13.646936473304766,0.1359,15.0,1367.1,1.989978828155521,1.7432388475269225,NaN,0.15274778409464118,5.801772490470886,0.03260360130299791,0.05668673661463697,NaN,0.5039345831138065,0.3651388705223882,0.9254734210830229,0.11755963678701345,0.15338926427516125,0.031351923114794567,0.04847205907757283,0.09466884294477743,0.08403877197647966,0.8495699099109799,6.6508537293294445,0.9733442563169147,1.0569241268155296,1.4611102749311353,1.3369243343686295,1.915738682738773,0.882793829792412,0.8501572866323753,0.9698189873173609,0.9586262010479865,0.9002682346804884,0.9219128762533111
10,15,sparse,short,uniform01,uniform,1.8637617531662998,5.0,0.0,2.0964077577857165,0.0,1.3282940331495787,1.4136406785292865,1.2854549873858427,1.2114944404464163,1181.9,2.0386267009255348,1.385753356198295,1.290026807166083,NaN,1.331127378103244,1.2855958813917665,7.271209034533383,0.18979999999999997,15.0,1045.6,1.359896391582939,1.2765783750898276,NaN,0.07192223426929814,4.361275567779329,0.037695437065854265,0.01769064846841083,NaN,0.5260203388054585,0.39180499209431996,0.5823913607835995,0.06369370974897874,0.12824424921259653,0.015202844571439101,0.058391191839121524,0.05977927445120453,0.11431365103274252,0.9212161524847535,5.24711630825948,0.9605803025114706,1.0201243043765726,1.4711324290192205,1.3449447874904543,1.512828923277549,0.9276217745648382,0.8742496888263404,0.981340860911719,0.9585356782347246,0.930920932932228,0.927723447784891
10,15,dense,long,uniform01,uniform,2.457305571848179,10.0,0.0,3.0587524155364023,0.0,1.5901334045068793,1.8269745338661252,1.483851388593243,1.3536791213459525,1341.8,2.8637169248201397,1.7065899144016818,1.5843857098220595,NaN,1.6595966668153241,1.5524930761364941,19.46770685373932,0.075,26.3,1116.7,1.6492835476922327,1.3922394968266276,NaN,0.19125794351905862,10.673659844350626,0.03804589226210105,0.07173404761144998,NaN,0.7557513477773602,0.49174580402723994,0.7693954468320724,0.13479898942268492,0.22568962765089712,0.034448221809082344,0.07356064092520892,0.0706975853434618,0.09143279080302322,0.8158020184449155,11.40737249731407,0.9724636556270561,1.0705410353410236,1.6780346002596285,1.4398922383821144,1.792318347673336,0.8694832754320305,0.7932070322943064,0.9664205406197186,0.9317606948734187,0.9283927535558733,0.909704823071562
10,15,sparse,long,uniform01,uniform,1.7162561086494115,5.0,0.0,1.9626378724103826,0.0,1.1281011755821186,1.2413884103814046,1.171878132932372,1.0847078474346448,985.1,1.9663109751667829,1.2220986876938762,1.182249585021326,NaN,1.2066790826517764,1.1153415067540784,11.887189402741013,0.1032,26.3,956.4,1.2173302804882844,1.123392387870646,NaN,0.0736493470111966,9.32186544363967,0.01701271526213427,0.018027703857268484,NaN,0.6781856537073689,0.4544173895742193,0.6810667632503702,0.040581011704686434,0.12155059740328018,0.003006049671242639,0.08825388669432828,0.03185079941826639,0.09775229571839268,0.919232136637434,9.726865368927259,0.9873826842321572,1.0157840957377415,1.6089625125751912,1.4043514864482998,1.6059569428995282,0.9589063017027935,0.8875779496020157,0.9960981815514508,0.9230851705690539,0.9673928930013449,0.9126443862391747
12,18,dense,short,uniform01,uniform,3.185236630682551,12.0,0.0,4.505169400607102,0.0,2.1342673308161246,2.43935023403922,1.8638771626894222,1.925366324179499,1966.0,3.409410237971605,2.3035054243583173,2.094816335016946,NaN,2.2377996983975383,2.1249763314483583,15.590061280003354,0.12349999999999998,18.0,1754.6,2.2237075656343914,1.8200899735032294,NaN,0.21315874683027056,5.801892435522515,0.055755093017236135,0.05696381564955102,NaN,0.5046514204813787,0.4072285605217193,0.949102362935667,0.1963707651791225,0.1727299873949007,0.03860847244648552,0.07342068377833545,0.09158077417122698,0.07659929739378,0.7901392174972838,6.767972462815557,0.9714757667744227,1.0589730800042483,1.4800964659856868,1.382778003038502,1.9557884921682342,0.8091481543650537,0.8358418885494243,0.9653580764863382,0.9265301953481021,0.9094036909422493,0.922496777727497
12,18,sparse,short,uniform01,uniform,2.3307052797355516,6.0,0.0,2.76018218284866,0.0,1.6383755123641521,1.812953215176607,1.5167504251352737,1.5107423263908009,1377.3,2.518410273454704,1.735534412877437,1.6170998762486264,NaN,1.7130533272219026,1.6164360847591788,11.805910266190649,0.13369999999999999,18.0,1292.1,1.7280882475572512,1.4707791227371663,NaN,0.15033227516521844,5.724230884452426,0.04042597306645771,0.04472959973157301,NaN,0.4559584064006847,0.34567285346941806,0.590264723236294,0.12120281896074692,0.13120882646620208,0.005130422141555568,0.05733172110799516,0.0683166361705719,0.07315706919881657,0.8474502791901899,6.802463943435721,0.9870465918228255,1.0446080479446174,1.4510863367320355,1.342932333949719,1.5903932312539997,0.8739385481965584,0.8704767333803879,0.9957095835928482,0.9440178772645598,0.9317590387433162,0.9313765677968905
12,18,dense,long,uniform01,uniform,2.8005288978531135,12.0,0.0,4.208040329459366,0.0,1.7122858591496546,1.9361544148467407,1.5958923776546459,1.4879072902600206,1565.7,3.313043573160326,1.8261998535219341,1.6205550836928353,NaN,1.7198283664750118,1.668859550263273,25.70407521211801,0.06659999999999999,31.4,1373.8,1.7669840530133225,1.553227367515635,NaN,0.15567425171184762,12.982287273646984,0.06634463793484778,0.05909164302220016,NaN,0.8413763726613464,0.5558070745601891,1.3048447239994139,0.13577396254206162,0.19170822120380207,0.03421403817860841,0.0639310005471626,0.11601438204554693,0.0920843689256842,0.8505243084540525,14.075170996507412,0.9417525486918759,1.0602094897295893,1.8141736057917899,1.5335281581871383,2.304260577693023,0.873887036282953,0.814756001316342,0.9675743044254381,0.9376223833593077,0.8873919689389412,0.9138427796085838
12,18,sparse,long,uniform01,uniform,2.095754479882569,6.0,0.0,2.3897843214481758,0.0,1.301547766573002,1.4827929977066951,1.3231424873011046,1.170352869911408,1081.1,2.4872270597006154,1.4254762544821116,1.3398395460786474,NaN,1.3570145007194925,1.3256527630048627,18.991975313219864,0.073,31.4,938.6,1.4107900951046313,1.2582828197978508,NaN,0.12074866583858843,12.225083599617843,0.0456151994378479,0.04408147756165437,NaN,0.7534456413502643,0.4726042571820094,0.7102139577346569,0.06953138125195954,0.183249841592649,0.013169665527553664,0.09116023692691567,0.058764746989582915,0.08410298016349453,0.882710473669024,13.323249162168485,0.9519727154013576,1.0402088376038277,1.7448393488702816,1.4702135327003225,1.6764813261069762,0.9282108229728556,0.8210258615192492,0.989697366524835,0.913061696033559,0.9399241424512002,0.9299718314048552
14,21,dense,short,uniform01,uniform,4.164603176902482,14.0,0.0,6.7725782232554845,0.0,2.8319083981861106,3.316892230639753,2.6125965147651713,2.4379091241548174,2238.4,4.451503257745338,3.088183415941574,2.6773687017213414,NaN,2.97192113190348,2.877560995949597,25.4275808433189,0.10369999999999999,21.0,2010.6,2.95351592763268,2.5064509462949576,NaN,0.19441855912978823,7.091670411205304,0.041221390444474384,0.07491667351990294,NaN,0.4347179620285244,0.3469675508491841,1.1600016654040306,0.159490533085137,0.21376318106764353,0.047934632182396686,0.08426788470588914,0.13060553342633077,0.07670284546958275,0.8116263215961709,8.233831161730444,0.9623525327420859,1.0740593364751447,1.4414633647619965,1.3485608255663506,2.193062169913426,0.845997844972107,0.7894314539641776,0.9563926521936086,0.9170143144890485,0.8669720483247343,0.9317973087658205
14,21,sparse,short,uniform01,uniform,2.6608753055730747,7.0,0.0,3.6072960760814667,0.0,1.7557553601181628,1.9762498959846102,1.809347454526069,1.614585204008802,1391.6,3.032259645866204,1.905202020827233,1.7824296622066194,NaN,1.84826218577801,1.7671587979829149,15.500594564447903,0.1272,21.0,1324.8,1.8902437900874687,1.734365281884262,NaN,0.09513865205819326,7.3670333602651725,0.040071162672716966,0.04381084227125842,NaN,0.6178561159643996,0.41516366929428494,0.9146188258321366,0.05860666811863137,0.15143687325055988,0.01171426667128036,0.076767491235081,0.07638827532869669,0.08025872762822259,0.9103314309582802,8.135932250228032,0.9701134922035722,1.0372915178446684,1.5915685647601854,1.3966368272156937,1.8933929507985667,0.9496879778347369,0.8474614168778564,0.9921487429804061,0.9215586278644714,0.9355594014290903,0.927544049746294
14,21,dense,long,uniform01,uniform,3.567262349174917,14.0,0.0,5.316505902545059,0.0,2.184737522928387,2.6849668167862566,1.9766958362260774,1.7448065993348798,1752.7,4.09552408239215,2.4134780608274236,1.9881339835280802,NaN,2.2577104691156737,2.174419882701805,35.16817501363426,0.0522,35.5,1477.1,2.307518507817046,1.7415320444831164,NaN,0.2763071950666983,13.368576702046258,0.07301150776352665,0.1152385537224901,NaN,0.6942632477798794,0.47650338633721034,1.1776623075018584,0.18213958003583705,0.27635004786305484,0.0461609856162554,0.09460834562227723,0.1758237700687547,0.11162961997006782,0.7215860267178311,14.571574353394949,0.9354592883026468,1.1124885949308183,1.696938600298717,1.4780587431368388,2.2028399548502122,0.8190237434967185,0.7229428050970971,0.9560967407451589,0.905223692888836,0.8237630230815023,0.9009486839736752
14,21,sparse,long,uniform01,uniform,2.4271160776095635,7.0,0.0,2.6892600516101828,0.0,1.4008718893157863,1.663073408573944,1.4162336212790603,1.2856038874652735,1014.6,2.895859533562937,1.5611815368396524,1.3637659472981352,NaN,1.5158284154145194,1.305756117004623,22.08288773935999,0.065,35.5,987.6,1.5500730679404764,1.298770705746033,NaN,0.16224321010370962,14.115778528684114,0.06606119780018668,0.06589375530264885,NaN,0.9403732885279279,0.5968529035946974,0.7161442875464153,0.10022269964618553,0.16673121712686462,0.009208054084828065,0.09699617325265604,0.1350378331826247,0.20937804011961064,0.8319152354153343,14.144983922922286,0.9709494889896387,1.0652658703231621,1.8549153094809936,1.5546661424928512,1.7225799743021137,0.9071549898969375,0.8234813550689056,0.9928845757927273,0.8973151784459443,0.8735473198452297,0.8363896742257823
16,24,dense,short,uniform01,uniform,3.996692740127032,16.0,0.0,6.862239927514855,0.0,2.750908113479591,3.1816275693783633,2.4456075470468495,2.3408322622328854,2296.2,4.275504233696577,2.9847955427619004,2.673303761118803,NaN,2.8752515973307764,2.7369848108718653,31.07156981915231,0.0762,24.0,2018.8,2.8137624296469013,2.3739190152884606,NaN,0.20679459047575657,9.502333128938862,0.0494311817844564,0.06604211984424888,NaN,0.4327003027330002,0.33391559125607717,1.3513396071723338,0.1847258505737875,0.22468524443027632,0.06478810860097303,0.08794171501293985,0.10899017748513999,0.09309444903766216,0.7953372287241552,10.409949148611052,0.9632993470200105,1.065944894314044,1.4324278405147826,1.3390172569169678,2.299065322633478,0.8193551323732788,0.7842521300694717,0.9426985498119786,0.9216403851012562,0.8956404962482398,0.9169756426060828
16,24,sparse,short,uniform01,uniform,2.583014917659062,8.0,0.0,3.6371639430289,0.0,1.754165990282538,2.000633865444286,1.7351493767356707,1.5612157339608608,1430.2,2.8631251908789186,1.9142197358501885,1.791685224255486,NaN,1.8700316400001955,1.684394663222529,21.331836318422397,0.0784,24.0,1309.7,1.8180090004767142,1.6697806879188566,NaN,0.14267291868013168,10.142915842850323,0.03475247317862336,0.05635610889327981,NaN,0.5058969062565553,0.3627838530234261,0.9266307788389287,0.1123736844221129,0.2180239487578938,0.060317701852003094,0.10446363212695627,0.07680793814011715,0.15470046196848725,0.8723035588060293,11.14388067310778,0.9769158707214106,1.0451432654129007,1.4957139649421072,1.3493826593067866,1.9000765037110419,0.9064525583135393,0.8155885683977951,0.9497389283102637,0.9163869525686592,0.935987227955165,0.8799379881403302
16,24,dense,long,uniform01,uniform,3.4138379537309653,16.0,0.0,5.814798064370465,0.0,2.004146483848239,2.413881603521895,1.775953311986521,1.651772630705861,1720.4,3.911843659870885,2.2373481087128595,2.006511077061328,NaN,2.102554620312847,2.0303970450029643,44.07560926190504,0.04089999999999999,44.1,1453.2,2.1307074653988574,1.799514389657476,NaN,0.18994399198120243,19.48524722314051,0.07009273585295514,0.08325136074180459,NaN,0.7564437248676046,0.5260806036183958,1.685006241725084,0.1962079968652522,0.26750615551102824,0.04504423258753938,0.11906010007121255,0.10981055466193164,0.10713191780255013,0.804306841054221,19.69993363583534,0.9397530103272311,1.0789030075925892,1.748428706573229,1.5258412137282191,2.5989688603780587,0.7937760355978857,0.7382725219528405,0.9523361416586388,0.8957687344421423,0.8968256076233343,0.9075016252929216
