n,k,mean_weight,obj_it,LP_obj,greedy
5,8,9.431666666666667,9.663386017644696,14.154666666666666,8.836666666666666
5,10,9.995,9.666666680167745,14.438,8.666666666666666
5,12,10.353,9.839595926224815,14.491333333333335,9.205666666666668
5,18,10.283999999999999,9.666666666436058,14.700000000000001,9.086666666666666
5,25,11.282666666666666,10.497106890170242,15.25,9.793666666666667
5,30,11.288666666666666,10.623747821648138,14.926,9.985
5,37,11.632,11.078799088308033,15.24,10.437666666666667
5,43,11.841,11.344747999449842,15.186,10.735666666666667
5,47,12.110333333333335,11.569663417226936,15.295333333333332,10.99
5,52,12.445,11.839751612363244,15.233333333333334,11.283333333333333
8,8,10.289333333333333,10.33333341427047,18.081555555555557,8.616666666666667
8,10,11.341333333333333,10.70253110795108,18.301666666666666,10.333333333333334
8,12,11.664333333333333,10.868126795822754,18.8075,10.333333333333334
8,18,12.467999999999998,11.757375541979973,19.66711111111111,10.485333333333333
8,25,13.362666666666668,12.756683274336147,20.248333333333335,10.74
8,30,13.359333333333334,12.897235085165981,20.361333333333334,10.781333333333334
8,37,13.734000000000002,13.214084004348875,20.366,10.816
8,43,13.788666666666666,13.135205251706516,20.362666666666666,10.747333333333335
8,47,14.173,13.45307866312694,20.368666666666666,10.825333333333333
8,52,14.589999999999998,13.836107646388461,20.363666666666667,12.043333333333331
10,8,12.318666666666665,11.876511335670827,22.494555555555554,9.983333333333333
10,10,14.225999999999999,13.497558406297165,23.33988888888889,11.957999999999998
10,12,14.883999999999999,14.346666767319343,24.518555555555555,12.738333333333332
10,18,15.947999999999999,15.130087272039404,25.962888888888887,14.566666666666668
10,25,16.77,15.84240930549104,26.685333333333332,15.0
10,30,16.412333333333333,15.355778226662656,27.872666666666664,15.0
10,37,16.756333333333334,15.550691942437771,27.89033333333333,15.0
10,43,17.373333333333335,16.423387858780227,28.12783333333333,15.0
10,47,17.260666666666665,16.358136158731536,28.04483333333333,15.0
10,52,17.586,16.539792160380575,28.08983333333333,15.0
12,8,12.435000000000002,11.33333365818271,26.079333333333334,9.648000000000001
12,10,14.350333333333333,13.507515068218895,28.686111111111114,11.697333333333333
12,12,15.219999999999999,13.991128849034764,30.13433333333333,12.542000000000002
12,18,16.295333333333332,15.428905232160036,32.30533333333333,13.546
12,25,17.538666666666668,16.15289905188784,33.443000000000005,15.272666666666666
12,30,17.47733333333333,16.03007162337863,34.403666666666666,15.306
12,37,17.882333333333335,16.377798748889642,34.687999999999995,15.435
12,43,18.23466666666667,17.07254261644687,34.973,15.424333333333331
12,47,18.430000000000003,17.428712003606467,34.909,15.592666666666666
12,52,18.703333333333333,17.593496093488294,35.029333333333334,15.687000000000003
18,8,13.100333333333333,12.162667421549026,29.951666666666664,7.7909999999999995
18,10,14.976666666666665,13.9505314676202,32.31633333333333,12.192666666666666
18,12,15.829,14.550350974404536,35.83566666666667,12.612
18,18,17.913333333333338,15.679479311147249,40.689,13.838333333333333
18,25,19.657666666666668,17.440350404170406,43.983000000000004,14.168666666666667
18,30,20.368666666666666,18.93399154975253,45.99799999999999,14.627
18,37,21.019000000000002,19.349719383881567,46.74766666666667,14.954666666666666
18,43,21.584333333333333,20.010958610283048,48.04833333333334,16.098333333333333
18,47,22.31566666666667,20.909063527774816,48.459,17.046
18,52,22.656333333333333,20.978363580703842,49.14000000000001,16.861
25,8,12.83,12.000000512577321,28.889999999999997,6.433333333333334
25,10,13.565333333333333,12.190978122966754,30.87066666666667,11.025666666666666
25,12,15.087333333333332,12.463123798502366,34.40133333333333,10.834999999999999
25,18,16.641000000000002,14.893201654547992,40.76288888888889,12.157666666666666
25,25,17.970000000000002,16.0411101987763,45.03133333333333,12.616666666666667
25,30,18.549333333333333,16.763032496108075,47.689,12.636333333333333
25,37,19.627333333333333,17.759331404532414,51.01066666666666,13.247666666666666
25,43,19.64,17.603161381035125,53.315333333333335,13.676333333333332
25,47,20.452,19.04641236489108,54.61966666666667,14.102333333333334
25,52,20.980333333333334,19.600882449566623,55.69533333333333,14.107
30,8,17.295,17.054479866891203,35.032999999999994,13.11
30,10,18.548333333333332,17.54943845802484,38.22033333333333,16.479333333333333
30,12,19.417333333333332,17.816934797549056,42.280333333333324,16.851333333333333
30,18,21.25433333333333,18.40216505672466,49.59033333333334,17.521666666666665
30,25,23.882,20.9393252101031,57.27333333333333,18.766000000000002
30,30,25.128,22.230378777618142,62.525666666666666,19.474999999999998
30,37,26.632666666666665,23.219456391520154,65.74533333333333,20.512666666666668
30,43,26.744,23.288278104429946,69.593,20.75
30,47,27.744333333333334,25.147412869892293,70.90833333333333,22.24
30,52,28.054,25.30988799773111,71.67766666666667,22.033333333333335
37,8,17.639,15.132511563559305,36.808,11.283000000000001
37,10,18.962333333333333,17.787010315824237,40.31033333333333,16.119333333333334
37,12,19.641000000000002,17.64495627729762,45.088,16.12933333333333
37,18,21.643666666666665,19.888209736925333,52.230333333333334,18.741333333333333
37,25,23.94333333333333,21.660950129217554,59.792,19.675
37,30,25.407666666666668,22.846803869268786,66.08966666666667,20.723333333333333
37,37,26.55033333333333,24.484162278719907,68.84433333333332,21.64233333333333
37,43,27.037666666666667,24.84106738049465,73.2,21.251
37,47,27.856333333333335,26.10550816138424,75.55333333333334,21.391333333333336
37,52,28.319666666666667,26.398854812608146,76.587,24.211333333333332
43,8,17.626,16.7802136364968,38.79266666666667,12.465666666666666
43,10,18.638333333333332,17.10238176857391,43.851,15.829666666666668
43,12,19.234333333333336,17.12401454792224,46.93,15.819666666666668
43,18,23.221666666666664,20.332190927111906,58.525,18.064
43,25,25.254666666666665,23.118157219649447,67.896,19.2
43,30,26.474333333333334,23.951923662935005,74.08333333333333,18.346666666666668
43,37,27.661,25.229674603062364,79.284,19.0
43,43,28.159000000000002,25.275734447120637,85.241,20.805333333333333
43,47,29.524999999999995,27.33688340119204,87.325,21.494
43,52,29.971999999999998,27.264006191283368,90.13400000000001,22.718666666666667
47,8,17.14533333333333,16.666671641712075,38.8555,12.507
47,10,18.68166666666667,17.979780744262943,43.96066666666667,16.43733333333333
47,12,20.275333333333332,18.481079350253037,48.47466666666667,16.678
47,18,24.152666666666665,21.751199576723508,57.48933333333334,19.464
47,25,26.093999999999998,23.221530078106824,66.33633333333334,20.967
47,30,27.835333333333335,25.219391484408572,72.419,21.157333333333334
47,37,28.637333333333334,25.15922096123106,77.93133333333334,22.30933333333333
47,43,29.031333333333333,25.661434392069197,84.29866666666666,21.257
47,47,30.317333333333334,26.85716140250665,87.35266666666666,21.115666666666666
47,52,30.760333333333335,27.493773378542176,90.024,22.006
52,8,17.351666666666667,16.626174019254883,39.15933333333333,12.450000000000001
52,10,18.868,17.654549951800472,45.12444444444444,16.780666666666665
52,12,20.326,18.198919036075818,51.08408333333333,16.979333333333333
52,18,22.91433333333333,20.360318918010673,60.90966666666667,17.115333333333336
52,25,25.281333333333336,22.690395569060584,71.22033333333333,18.908
52,30,26.015666666666664,22.830099472105587,76.98466666666667,20.576666666666668
52,37,27.490333333333336,24.54755831536478,82.66933333333333,21.073999999999998
52,43,27.919666666666668,25.813875672817616,87.884,20.591333333333335
52,47,28.792999999999996,26.504795491380886,91.37766666666668,21.295333333333335
52,52,29.367666666666665,26.717291086137568,93.601,23.102
