n_base,m_base,density,length,weight_mode,dist_type,dual2,n,instance_id,dsrse_ratio,lp_orig,cdsrse_weight,cdsrse_ratio,dual1,opt_mc,sdp_orig,lp_cons,p_star,m,dsrse_weight,alpha_pes,alpha_over_opt,lp_cons_over_opt,lp_orig_over_opt,sdp_orig_over_opt,dual1_over_opt,dual2_over_opt,cdsrse_w_over_opt,cdsrse_r_over_opt,dsrse_w_over_opt,dsrse_r_over_opt,alpha_gap,lp_cons_gap,lp_orig_gap,sdp_orig_gap,dual1_gap,dual2_gap,cdsrse_w_gap,cdsrse_r_gap,dsrse_w_gap,dsrse_r_gap,mu_pes_bound,alpha_pes_over_pstar,alpha_pes_over_pstar_over_opt,mu_pes_bound_over_opt,alpha_pes_over_pstar_gap,mu_pes_bound_gap
8,12,dense,short,uniform01,uniform,2.3473868729659544,8.0,15.5,1.6818605730371776,1.8738584823707005,1.6063658151293472,1.5458061985737008,2.531671317305134,1.798831904215779,NaN,1.726896011251103,0.17609999999999998,12.0,1.765315306545613,1.5547286651615184,0.8642990273398113,0.9600096636066519,1.0417084987091276,NaN,1.4073973845871077,1.3049506557364092,0.8930049613666712,0.8593388826109422,0.981367576597004,0.9349737288378837,0.1394437439975479,0.04639684819219958,0.04635989223681883,NaN,0.4322500255048071,0.319384311839092,0.11551363472078029,0.14879860811794393,0.022584194058387463,0.06972562401153398,NaN,9.429176482585087,5.24668296082972,1.7055589179673638,4.24668296082972,0.7126390352672706
8,12,sparse,short,uniform01,uniform,1.6530968240500197,4.0,15.5,1.1672641361700067,1.2644055893368746,1.1516493712772307,1.0603801311690104,1.8312762134454845,1.2390853346605806,NaN,1.1977383806550626,0.21603333333333324,12.0,1.2326755158374458,1.1051159094089873,0.8918803882960239,0.9666310682170699,1.0204346334897345,NaN,1.4779258233631836,1.3341266963690182,0.9294350752627534,0.8557765163603341,0.9948269754763174,0.9420369231387541,0.10787632830528866,0.0444458637851548,0.023026056709215526,NaN,0.5246292038916478,0.36959563903605636,0.07452030548356994,0.14117736114151097,0.010387323924294874,0.06089196471393768,NaN,5.751635577940052,4.681327638698613,1.5014162653794203,3.681327638698612,0.6294887083288583
8,12,dense,long,uniform01,uniform,2.1593405435522097,8.0,15.5,1.418774564270185,1.5834226882175522,1.3870300697533213,1.3256138578477887,2.542321269386876,1.5043608933591857,NaN,1.4324789083534697,0.09803333333333333,19.866666666666667,1.468322386026591,1.3292216434860422,0.8835789665589727,0.9522175926514508,1.0525550718629917,NaN,1.689967667073531,1.4353873150281626,0.9220061993609335,0.8811807483826165,0.9760439748921405,0.9431078476801604,0.12214502781735272,0.052357956653635324,0.0562337709180812,NaN,0.7399029576430454,0.4584774571711193,0.08427134426146347,0.12220829097428618,0.028813493248853118,0.06029954504007387,NaN,14.848543141179105,9.775480848702719,1.581316113973935,8.775480848702717,0.6729363728213611
8,12,sparse,long,uniform01,uniform,1.5747263036465096,4.0,15.5,1.0029206434429685,1.0893880057691532,1.010951254676011,0.9222699590090393,1.8521324800957573,1.0622591400462233,NaN,1.0375268591218443,0.12310000000000001,19.866666666666667,1.0601968533612598,0.9623613010848356,0.9059571857795069,0.9767172811303814,1.025538839535661,NaN,1.7435787655497728,1.4824313995340033,0.9516992761596953,0.8682156022389297,0.9980585841936142,0.9441393400477845,0.08656074140887664,0.03435540314532894,0.028615363875449388,NaN,0.7925959860353958,0.5139039394415204,0.04477434894590214,0.12695174564380537,0.00533010554854901,0.05803788296812019,NaN,9.49738374916481,8.956999246888312,1.5551763081409065,7.956999246888313,0.6699600992354268
10,15,dense,short,uniform01,uniform,2.9528147467359553,10.0,15.5,2.0138632904982603,2.269357336113769,1.9001372482733143,1.8010293881590878,3.128755090674457,2.16518342083337,NaN,2.0791076797655146,0.13790000000000002,15.0,2.1088082179753154,1.8295463841116297,0.8449844786856188,0.9602455199685923,1.048113205688737,NaN,1.4450300425218536,1.3637711790714846,0.8775871965350445,0.8318137719093929,0.9739628512228512,0.9301120963336829,0.1502467278699046,0.04723631740161965,0.0494078330444841,NaN,0.45168050370486523,0.3684471644607026,0.11841488132393098,0.16161871269430308,0.02635005101646563,0.06861951684087134,NaN,14.265682941213619,6.654616753187858,1.848938436455416,5.654616753187857,0.8910278446521205
10,15,sparse,short,uniform01,uniform,1.9004533195254225,5.0,15.5,1.1925981897169076,1.3833694352606816,1.1782205481607189,1.0769240160389413,2.0608076179707004,1.337670522659304,NaN,1.2975694365775374,0.1604666666666667,15.0,1.3068417138824464,1.1521153993237114,0.8612848827925826,0.9700217016055306,1.0341630557205728,NaN,1.540594326526529,1.4207185456604816,0.8808002629963043,0.8050741926330292,0.9769533616427687,0.8915485312078262,0.1253144669252786,0.04588040756590092,0.03380055364771768,NaN,0.5552081169184142,0.4308954763519022,0.11162098333634483,0.1932267761666183,0.022185911534852065,0.1095256614474625,NaN,8.044499565947286,6.081242877506716,1.892545509080974,5.081242877506715,0.9333999302289733
10,15,dense,long,uniform01,uniform,2.6210047817138293,10.0,15.5,1.565765251951031,1.8416026702406476,1.5441387033123641,1.4114283561599579,3.031051724176522,1.7409383192933137,NaN,1.6346245467106253,0.07483333333333335,25.5,1.6773126041011477,1.5064758071078421,0.8653240556617507,0.9389330618985723,1.057821893993462,NaN,1.741044866774427,1.5055127184389592,0.8869577320459952,0.8107285252546389,0.963453205385247,0.8993800840609968,0.14030433995727032,0.06393497530311401,0.06136736908367079,NaN,0.7689621689371614,0.5254395347993451,0.11520187377447025,0.19359767559188482,0.03625634696768039,0.0985035969825021,NaN,22.150000846507663,12.699946822040289,2.1834064383990697,11.699946822040289,1.2009350846968219
10,15,sparse,long,uniform01,uniform,1.7423080012432546,5.0,15.5,1.0139618226440983,1.1846742272248985,1.0584176736558186,0.9553511942537054,2.0423318742559204,1.1375985767055252,NaN,1.0913880164810983,0.08733333333333336,25.5,1.110556608722213,1.0236531960141184,0.8998369169717216,0.9593788519336476,1.0413816011054655,NaN,1.7953010104587985,1.5315666149029143,0.9303964468037453,0.8397964042996551,0.9762289013567286,0.8913177665715108,0.09180886713124994,0.04126669652830827,0.04041331637581394,NaN,0.8220021144753136,0.5472250899861298,0.06554135431170603,0.16582023898923584,0.0241185276693082,0.11250738684810324,NaN,13.583153876274862,11.932103946749168,1.7114176654184525,10.93210394674917,0.768428988516384
12,18,dense,short,uniform01,uniform,3.282500581545325,12.0,15.5,2.2366289866429603,2.5614104611037454,2.108023349579246,1.9612995531975885,3.5107220577935365,2.4160272188859433,NaN,2.2882704680301496,0.11356666666666669,18.0,2.3350944200716603,2.0248446255886843,0.8380884990701232,0.9471211458806728,1.060174505105468,NaN,1.4530970637873728,1.3586355964395642,0.8725163909996341,0.8117870270112127,0.9665017023890973,0.9257466013459461,0.16599805815102597,0.059891791178908055,0.06039388666269936,NaN,0.4618583549305168,0.3641898513237344,0.13162072058318833,0.1983440690200754,0.03891672505382045,0.07962400465414098,NaN,19.060722609946257,7.969352477947689,1.916945877133471,6.96935247794769,0.9191719914764168
12,18,sparse,short,uniform01,uniform,2.297812879185435,6.0,15.5,1.581312689427886,1.7535121930953992,1.5235807743069256,1.4248931164362741,2.522561856228178,1.678204839341137,NaN,1.6211739903488764,0.13460000000000003,18.0,1.658187255331353,1.4651350092711601,0.8730370541932008,0.9660167533454075,1.0448737555683774,NaN,1.5031310821499808,1.3692088267887226,0.9078634136849963,0.8490579237011895,0.9880720258096485,0.9422644079900931,0.13300884779098263,0.037177857729000646,0.04651149091979161,NaN,0.5248341280879,0.3795059901649395,0.09476901247029125,0.154748108527518,0.012620277967547873,0.06003196607106812,NaN,11.554802535098611,7.1019769134335995,1.6996319179751493,6.1019769134335995,0.7943930397093635
12,18,dense,long,uniform01,uniform,2.928681139941161,12.0,15.5,1.7584367551045428,2.053223673315928,1.6473373948688406,1.4853165728270696,3.387217065749247,1.9276808238744205,NaN,1.812821337903815,0.06063333333333334,31.133333333333333,1.8456013636557638,1.5852832842865048,0.8223785103076684,0.9404157137695902,1.0651263673356361,NaN,1.7571462162191995,1.5192770004605032,0.8545695814714174,0.7705199711650144,0.9574206169392263,0.9122032721009714,0.17920915953746294,0.06561741644516839,0.0686898769140757,NaN,0.789548716903532,0.5368922408024599,0.14424501156520303,0.2423179609873779,0.04532946011088299,0.09709844421871774,NaN,29.250998079962457,15.183150794394868,1.9930654825221485,14.183150794394868,0.9930654825221484
12,18,sparse,long,uniform01,uniform,2.0879128759023784,6.0,15.5,1.2744062512866774,1.4481701506908353,1.2723659066812099,1.1065415299105603,2.4452771329253356,1.3850622182959051,NaN,1.339779850847415,0.07503333333333333,31.133333333333333,1.3606829517398444,1.1835391518259015,0.8545025170653019,0.9673066185400662,1.045563247312149,NaN,1.7654637464112286,1.507450602812065,0.9186344771187609,0.7989110635563943,0.9823984321902481,0.9201075839427835,0.14322493689298244,0.05265712631465871,0.04512654448883122,NaN,0.8037139951238734,0.518994411342593,0.08120698410785175,0.2100149474347112,0.0191169661660186,0.08868209403642068,NaN,17.408698283412743,13.083693392455078,1.5491101169974058,12.083693392455078,0.664759835821735
14,21,dense,short,uniform01,uniform,3.6027831230710126,14.0,15.5,2.4589176197063427,2.792726027281834,2.3217051498524413,2.2378246156137704,3.8232027792400918,2.6361856397196104,NaN,2.5258151277165464,0.09016666666666667,21.0,2.543276347906792,2.267722945821713,0.8602288517370545,0.9581324963082634,1.059381397578235,NaN,1.4502782814820032,1.3666651804742442,0.8807062427133857,0.8488873400629667,0.9647561649631395,0.9327558661490463,0.14640604631462004,0.05438020929004905,0.06411161893287193,NaN,0.47061927619239535,0.3819377164631438,0.12548663116524478,0.1619270510666323,0.04002316762894125,0.07283088349279154,NaN,27.063029078854647,10.103613152653999,2.326397865189181,9.103613152654,1.3328724004947614
14,21,sparse,short,uniform01,uniform,2.5441733377257587,7.0,15.5,1.8018134605152043,1.9662492541179006,1.778136818114249,1.6784432738085886,2.7635353918903474,1.8926535097652386,NaN,1.8611152516203262,0.12230000000000003,21.0,1.8795211989873564,1.6737972401394459,0.8843653798771972,0.983336486059287,1.038884953834889,NaN,1.4601380430341586,1.3442361872360533,0.9394941065228606,0.8868201523145035,0.9930614289883883,0.9520038671730771,0.11547824642284493,0.026970523929688885,0.04200239070596144,NaN,0.4996498861374629,0.37449201189498094,0.06610672917650263,0.11254928878176988,0.011349654771870691,0.04762086657742059,NaN,15.128694391318051,7.985701654914537,1.7027855843205337,6.985701654914537,0.7658142606240689
14,21,dense,long,uniform01,uniform,3.1553236194245424,14.0,15.5,1.9224828043537192,2.215655043309113,1.8436397157243358,1.7841752539688487,3.6978930726861976,2.086098676786973,NaN,1.9989686459565583,0.04673333333333333,37.63333333333333,1.987523810992177,1.8210505462407185,0.8729455449564429,0.9582330252159438,1.0621046204399516,NaN,1.7726357405018465,1.5125476347477478,0.8837739730336849,0.8552688680656519,0.9527467866732834,0.9215684884641908,0.13419376039300293,0.04960732063386581,0.06556142437110893,NaN,0.8125241329578189,0.5358504533375199,0.12477378347436906,0.16179011781470284,0.053798390891093804,0.0899494539757231,NaN,41.81936694079113,19.887587626014447,2.7046013619285127,18.887587626014447,1.716404051983278
14,21,sparse,long,uniform01,uniform,2.2947689710567825,7.0,15.5,1.4658024471529185,1.6108352622274054,1.454746325923926,1.3727350343573048,2.6357570995170865,1.5500822264460246,NaN,1.4928611235105638,0.06560000000000002,37.63333333333333,1.5317182013988497,1.4151427092270714,0.9129468650651277,0.9630851177058811,1.0391934277710373,NaN,1.7003982463306222,1.4804175752135098,0.9384962301382672,0.8855885261678438,0.9881528703872186,0.9456288331965848,0.08681910459874426,0.04878814906980116,0.040925949705688705,NaN,0.7570825083514043,0.5160070996744385,0.06464899292292134,0.12997101134960906,0.014459092078838786,0.0625018425038695,NaN,24.128480509205012,15.969258705669375,2.0185328154227844,14.969258705669377,1.0859350634868405
16,24,dense,short,uniform01,uniform,3.860338076421639,16.0,15.5,2.5356508619650753,2.974478579694894,2.297407768910403,2.2006100325564666,4.1392849531483815,2.7573126537078165,NaN,2.594611187270899,0.07759999999999999,24.0,2.597320568379191,2.267404753698559,0.8223241389218346,0.9409927393550639,1.0787599932474288,NaN,1.501202610296006,1.4000363982048103,0.8332053914237946,0.7980995661109594,0.9419753559272719,0.919609482281718,0.1815830260173907,0.06388162909847335,0.08282891778044453,NaN,0.5236395091049394,0.41866483381642916,0.1693654713465421,0.21364289060835784,0.060262994293213606,0.08542316667494892,NaN,31.345730432400202,11.557143257198765,2.5397767978949886,10.557143257198765,1.5540756255849317
16,24,sparse,short,uniform01,uniform,2.6093632160333384,8.0,15.5,1.7118510637145563,1.935643854146987,1.6153854074253633,1.4895297879927647,2.8671949741761704,1.8385197963842355,NaN,1.7592073101412977,0.09413333333333335,24.0,1.7745796512300045,1.5187307958017053,0.8260617039797722,0.9568606841226733,1.0528273113804718,NaN,1.5595127013671548,1.4192739295846033,0.8786336761792263,0.8101788139144221,0.965221943609212,0.9311028725832624,0.176890711342899,0.05055921686653971,0.0592801288522423,NaN,0.573503025005604,0.4309384625938137,0.12241896949853294,0.19487946878285783,0.037245714801897645,0.07330363477740089,NaN,17.789648053274938,9.698937453777619,1.82975262153037,8.698937453777615,0.905737333626533
16,24,dense,long,uniform01,uniform,3.343632046189794,16.0,15.5,1.9586780074874137,2.3396950098528273,1.8076585968367633,1.6516854495965818,3.9952038762697697,2.159546668351411,NaN,2.027170307086422,0.03930000000000001,43.86666666666667,2.038366497424443,1.7405616529341705,0.8059847367238923,0.9387017825523334,1.0834195176893033,NaN,1.8500196984951902,1.5483027503833984,0.8370546575021334,0.7648297088469367,0.9438862921080208,0.9069857281587068,0.1955682927252686,0.06762064573323526,0.08656860280191386,NaN,0.8882040997564317,0.5675258139398089,0.1637485720278235,0.23887150055322723,0.06362817128375378,0.09720832119336764,NaN,46.528021545286755,21.90308214591975,2.7598289214932024,20.90308214591975,1.779576797974202
